2025-12-22 01:54:55 | WARNING  | rate_limiter | <module>:57 | Redis bağlantısı başarısız, in-memory kullanılacak: Timeout connecting to server
2025-12-22 01:54:55 | INFO     | rate_limiter | setup_rate_limiter:104 | Rate limiting middleware aktif ✅
2025-12-22 01:54:55 | INFO     | __main__ | lifespan:30 | ElektrAize API baslatiliyor...
2025-12-22 01:54:55 | INFO     | __main__ | lifespan:31 | ============================================================
2025-12-22 01:54:55 | INFO     | __main__ | lifespan:32 | Tum modeller yukleniyor...
2025-12-22 01:54:55 | INFO     | __main__ | lifespan:33 | ============================================================
2025-12-22 01:54:55 | INFO     | veri_cek | _initialize:402 | Supabase bağlantısı başarılı (SupabaseManager).
2025-12-22 01:54:57 | INFO     | veri_cek | fetch_tables:470 | genel_elektrik tablosu yüklendi -> (45, 2)
2025-12-22 01:54:58 | INFO     | veri_cek | fetch_tables:470 | weather tablosu yüklendi -> (2997, 8)
2025-12-22 01:54:59 | INFO     | veri_cek | fetch_tables:470 | nufus tablosu yüklendi -> (3645, 3)
2025-12-22 01:54:59 | INFO     | veri_cek | fetch_tables:470 | hizmet tablosu yüklendi -> (44, 6)
2025-12-22 01:55:00 | INFO     | veri_cek | fetch_tables:470 | train_2022_2023 tablosu yüklendi -> (1886, 19)
2025-12-22 01:55:01 | INFO     | veri_cek | fetch_tables:470 | test_2024_2025 tablosu yüklendi -> (1722, 19)
2025-12-22 01:55:01 | INFO     | veri_cek | build_train_test_frames:504 | Merge bitti -> Train: (1886, 31), Test: (1722, 31)
2025-12-22 01:55:01 | INFO     | veri_cek | add_weather_features:149 | 2 hava durumu kolonu bulundu: ['windspeed_10m_max', 'windgusts_10m_max']...
2025-12-22 01:55:01 | INFO     | veri_cek | add_population_features:190 | 1 nüfus kolonu bulundu: ['Nufus_Sayisi']...
2025-12-22 01:55:01 | INFO     | veri_cek | add_weather_features:149 | 2 hava durumu kolonu bulundu: ['windspeed_10m_max', 'windgusts_10m_max']...
2025-12-22 01:55:01 | INFO     | veri_cek | add_population_features:190 | 1 nüfus kolonu bulundu: ['Nufus_Sayisi']...
2025-12-22 01:55:02 | INFO     | veri_cek | fetch_tables:455 | Tablolar cache'den alındı.
2025-12-22 01:55:02 | INFO     | veri_cek | build_train_test_frames:504 | Merge bitti -> Train: (1886, 31), Test: (1722, 31)
2025-12-22 01:55:02 | INFO     | veri_cek | add_weather_features:149 | 2 hava durumu kolonu bulundu: ['windspeed_10m_max', 'windgusts_10m_max']...
2025-12-22 01:55:02 | INFO     | veri_cek | add_population_features:190 | 1 nüfus kolonu bulundu: ['Nufus_Sayisi']...
2025-12-22 01:55:02 | INFO     | veri_cek | add_weather_features:149 | 2 hava durumu kolonu bulundu: ['windspeed_10m_max', 'windgusts_10m_max']...
2025-12-22 01:55:02 | INFO     | veri_cek | add_population_features:190 | 1 nüfus kolonu bulundu: ['Nufus_Sayisi']...
2025-12-22 01:55:03 | INFO     | veri_cek | fetch_tables:455 | Tablolar cache'den alındı.
2025-12-22 01:55:03 | INFO     | veri_cek | build_train_test_frames:504 | Merge bitti -> Train: (1886, 31), Test: (1722, 31)
2025-12-22 01:55:03 | INFO     | veri_cek | add_weather_features:149 | 2 hava durumu kolonu bulundu: ['windspeed_10m_max', 'windgusts_10m_max']...
2025-12-22 01:55:03 | INFO     | veri_cek | add_population_features:190 | 1 nüfus kolonu bulundu: ['Nufus_Sayisi']...
2025-12-22 01:55:03 | INFO     | veri_cek | add_weather_features:149 | 2 hava durumu kolonu bulundu: ['windspeed_10m_max', 'windgusts_10m_max']...
2025-12-22 01:55:03 | INFO     | veri_cek | add_population_features:190 | 1 nüfus kolonu bulundu: ['Nufus_Sayisi']...
2025-12-22 01:55:04 | INFO     | veri_cek | fetch_tables:455 | Tablolar cache'den alındı.
2025-12-22 01:55:04 | INFO     | veri_cek | build_train_test_frames:504 | Merge bitti -> Train: (1886, 31), Test: (1722, 31)
2025-12-22 01:55:04 | INFO     | veri_cek | add_weather_features:149 | 2 hava durumu kolonu bulundu: ['windspeed_10m_max', 'windgusts_10m_max']...
2025-12-22 01:55:04 | INFO     | veri_cek | add_population_features:190 | 1 nüfus kolonu bulundu: ['Nufus_Sayisi']...
2025-12-22 01:55:04 | INFO     | veri_cek | add_weather_features:149 | 2 hava durumu kolonu bulundu: ['windspeed_10m_max', 'windgusts_10m_max']...
2025-12-22 01:55:04 | INFO     | veri_cek | add_population_features:190 | 1 nüfus kolonu bulundu: ['Nufus_Sayisi']...
2025-12-22 01:55:05 | INFO     | veri_cek | fetch_tables:455 | Tablolar cache'den alındı.
2025-12-22 01:55:05 | INFO     | veri_cek | build_train_test_frames:504 | Merge bitti -> Train: (1886, 31), Test: (1722, 31)
2025-12-22 01:55:05 | INFO     | veri_cek | add_weather_features:149 | 2 hava durumu kolonu bulundu: ['windspeed_10m_max', 'windgusts_10m_max']...
2025-12-22 01:55:05 | INFO     | veri_cek | add_population_features:190 | 1 nüfus kolonu bulundu: ['Nufus_Sayisi']...
2025-12-22 01:55:06 | INFO     | veri_cek | add_weather_features:149 | 2 hava durumu kolonu bulundu: ['windspeed_10m_max', 'windgusts_10m_max']...
2025-12-22 01:55:06 | INFO     | veri_cek | add_population_features:190 | 1 nüfus kolonu bulundu: ['Nufus_Sayisi']...
2025-12-22 01:55:07 | INFO     | veri_cek | fetch_tables:455 | Tablolar cache'den alındı.
2025-12-22 01:55:07 | INFO     | veri_cek | build_train_test_frames:504 | Merge bitti -> Train: (1886, 31), Test: (1722, 31)
2025-12-22 01:55:07 | INFO     | veri_cek | add_weather_features:149 | 2 hava durumu kolonu bulundu: ['windspeed_10m_max', 'windgusts_10m_max']...
2025-12-22 01:55:07 | INFO     | veri_cek | add_population_features:190 | 1 nüfus kolonu bulundu: ['Nufus_Sayisi']...
2025-12-22 01:55:07 | INFO     | veri_cek | add_weather_features:149 | 2 hava durumu kolonu bulundu: ['windspeed_10m_max', 'windgusts_10m_max']...
2025-12-22 01:55:07 | INFO     | veri_cek | add_population_features:190 | 1 nüfus kolonu bulundu: ['Nufus_Sayisi']...
2025-12-22 01:55:09 | INFO     | veri_cek | fetch_tables:455 | Tablolar cache'den alındı.
2025-12-22 01:55:09 | INFO     | veri_cek | build_train_test_frames:504 | Merge bitti -> Train: (1886, 31), Test: (1722, 31)
2025-12-22 01:55:09 | INFO     | veri_cek | add_weather_features:149 | 2 hava durumu kolonu bulundu: ['windspeed_10m_max', 'windgusts_10m_max']...
